sequence,frame,detection_id,x_px,y_px,area_px,source
01,0,845,86.0,115.0,9,human_tracking_gold
01,0,855,72.0,124.0,9,human_tracking_gold
01,0,861,166.0,150.0,9,human_tracking_gold
01,0,865,119.0,196.0,9,human_tracking_gold
01,0,872,108.0,234.0,9,human_tracking_gold
01,0,874,123.0,237.0,9,human_tracking_gold
01,0,878,131.0,250.0,9,human_tracking_gold
01,0,879,92.0,58.0,9,human_tracking_gold
01,0,880,678.0,147.0,9,human_tracking_gold
01,0,881,210.0,97.0,9,human_tracking_gold
01,0,895,262.0,111.0,9,human_tracking_gold
01,0,905,272.0,150.0,9,human_tracking_gold
01,0,909,610.0,423.0,9,human_tracking_gold
01,0,919,587.5,450.0,12,human_tracking_gold
01,0,923,559.0,451.0,9,human_tracking_gold
01,0,926,634.0,487.0,9,human_tracking_gold
01,0,927,650.0,496.0,9,human_tracking_gold
01,0,934,682.0,462.0,9,human_tracking_gold
01,0,935,148.0,333.0,9,human_tracking_gold
01,0,944,166.0,290.0,9,human_tracking_gold
01,0,954,201.0,314.0,9,human_tracking_gold
01,0,960,211.5,376.0,12,human_tracking_gold
01,0,966,230.0,363.0,9,human_tracking_gold
01,0,976,153.0,413.0,9,human_tracking_gold
01,0,977,166.5,417.0,12,human_tracking_gold
01,0,981,48.0,437.0,9,human_tracking_gold
01,0,985,155.0,479.0,9,human_tracking_gold
01,0,987,150.0,500.0,9,human_tracking_gold
01,0,990,210.0,518.0,9,human_tracking_gold
01,0,991,297.0,324.0,9,human_tracking_gold
01,0,999,342.0,371.0,9,human_tracking_gold
01,0,1005,340.0,312.0,9,human_tracking_gold
01,0,1006,609.0,288.0,9,human_tracking_gold
01,0,1015,603.0,227.0,9,human_tracking_gold
01,0,1024,566.0,258.0,9,human_tracking_gold
01,0,1028,284.0,547.0,1,human_tracking_gold
01,0,1029,384.0,459.0,9,human_tracking_gold
01,0,1035,361.0,420.0,9,human_tracking_gold
01,0,1041,519.0,504.0,9,human_tracking_gold
01,0,1045,518.0,479.0,9,human_tracking_gold
01,0,1048,470.0,538.5,12,human_tracking_gold
01,0,1055,457.0,547.0,9,human_tracking_gold
01,0,1056,605.0,530.0,9,human_tracking_gold
01,0,1067,673.0,389.0,9,human_tracking_gold
01,0,1074,437.0,329.0,9,human_tracking_gold
01,0,1077,468.0,391.0,9,human_tracking_gold
01,0,1087,551.0,290.0,9,human_tracking_gold
01,0,1088,537.0,276.0,9,human_tracking_gold
01,0,1092,385.0,102.0,9,human_tracking_gold
01,0,1099,384.0,119.0,9,human_tracking_gold
01,0,1113,457.0,106.0,9,human_tracking_gold
01,0,1117,445.0,98.0,9,human_tracking_gold
01,0,1125,475.0,97.0,9,human_tracking_gold
01,0,1133,525.0,156.0,9,human_tracking_gold
01,0,1136,528.0,185.0,9,human_tracking_gold
01,0,1140,581.0,103.0,9,human_tracking_gold
01,0,1160,529.5,224.0,12,human_tracking_gold
01,0,1164,502.0,246.0,9,human_tracking_gold
01,0,1168,504.0,262.0,9,human_tracking_gold
01,0,1172,584.0,280.0,9,human_tracking_gold
01,0,1179,592.0,273.0,9,human_tracking_gold
01,0,1180,424.0,270.0,9,human_tracking_gold
01,0,1187,579.0,215.0,9,human_tracking_gold
01,0,1200,424.0,39.0,9,human_tracking_gold
01,0,1203,462.0,62.0,9,human_tracking_gold
01,0,1211,477.0,73.0,9,human_tracking_gold
01,0,1223,474.0,29.0,9,human_tracking_gold
01,0,1229,654.0,342.0,1,human_tracking_gold
01,0,1233,670.0,305.0,9,human_tracking_gold
01,0,1239,572.0,117.0,9,human_tracking_gold
01,0,1249,343.0,49.0,9,human_tracking_gold
01,0,1250,338.0,28.0,9,human_tracking_gold
01,0,1268,115.0,29.0,1,human_tracking_gold
01,0,1292,24.0,272.0,1,human_tracking_gold
01,1,845,86.0,116.0,9,human_tracking_gold
01,1,855,72.0,124.0,9,human_tracking_gold
01,1,861,166.0,150.0,9,human_tracking_gold
01,1,865,118.0,197.0,9,human_tracking_gold
01,1,872,107.0,235.0,9,human_tracking_gold
01,1,874,123.0,237.0,9,human_tracking_gold
01,1,878,131.0,250.0,9,human_tracking_gold
01,1,879,92.0,58.0,9,human_tracking_gold
01,1,880,678.0,147.0,9,human_tracking_gold
01,1,881,210.0,97.0,9,human_tracking_gold
01,1,895,262.0,112.0,9,human_tracking_gold
01,1,905,272.0,150.0,9,human_tracking_gold
01,1,909,610.0,423.0,9,human_tracking_gold
01,1,919,588.0,450.0,9,human_tracking_gold
01,1,923,559.0,450.0,9,human_tracking_gold
01,1,926,634.0,487.0,9,human_tracking_gold
01,1,927,650.0,496.0,9,human_tracking_gold
01,1,934,682.0,462.0,9,human_tracking_gold
01,1,935,148.0,333.0,9,human_tracking_gold
01,1,944,166.0,290.0,9,human_tracking_gold
01,1,954,201.0,314.0,9,human_tracking_gold
01,1,960,212.0,376.0,9,human_tracking_gold
01,1,966,230.0,363.0,9,human_tracking_gold
01,1,976,153.0,413.0,9,human_tracking_gold
01,1,977,167.0,417.0,9,human_tracking_gold
01,1,981,49.0,437.0,9,human_tracking_gold
01,1,985,155.0,479.0,9,human_tracking_gold
01,1,987,150.0,500.0,9,human_tracking_gold
01,1,990,210.0,518.0,9,human_tracking_gold
01,1,991,297.0,324.0,9,human_tracking_gold
01,1,999,342.0,370.0,9,human_tracking_gold
01,1,1005,340.0,312.0,9,human_tracking_gold
01,1,1006,609.0,288.0,9,human_tracking_gold
01,1,1015,603.0,227.0,9,human_tracking_gold
01,1,1024,566.0,258.0,9,human_tracking_gold
01,1,1028,284.0,547.0,1,human_tracking_gold
01,1,1029,384.0,459.0,9,human_tracking_gold
01,1,1035,361.0,420.0,9,human_tracking_gold
01,1,1041,518.0,504.0,9,human_tracking_gold
01,1,1045,518.0,479.0,9,human_tracking_gold
01,1,1048,472.0,538.0,9,human_tracking_gold
01,1,1055,457.0,547.0,9,human_tracking_gold
01,1,1056,605.0,530.0,9,human_tracking_gold
01,1,1067,673.0,390.0,9,human_tracking_gold
