frame,predicted_count,gold_count,true_positives,false_positives,false_negatives,precision,recall,f1,localization_rmse_px,seed_count,otsu_threshold,high_threshold,low_threshold
0,79,74,70,9,4,0.886076,0.945946,0.915033,3.227927,80,33.921763,40.706116,1.356871
1,79,74,70,9,4,0.886076,0.945946,0.915033,3.171532,80,33.921763,40.706116,1.356871
2,82,75,70,12,5,0.853659,0.933333,0.891720,3.221782,82,33.773546,40.528255,1.350942
3,81,75,69,12,6,0.851852,0.920000,0.884615,3.401136,81,33.372503,40.047004,1.334900
4,82,76,69,13,7,0.841463,0.907895,0.873418,3.640857,82,33.309614,39.971537,1.332385
5,85,76,71,14,5,0.835294,0.934211,0.881988,3.228240,85,33.342187,40.010624,1.333687
6,85,76,71,14,5,0.835294,0.934211,0.881988,3.116684,85,33.046817,39.656181,1.321873
7,82,76,70,12,6,0.853659,0.921053,0.886076,3.291058,82,32.892111,39.470533,1.315684
8,82,76,70,12,6,0.853659,0.921053,0.886076,3.062385,82,32.559583,39.071499,1.302383
9,82,76,71,11,5,0.865854,0.934211,0.898734,3.343523,82,32.636501,39.163801,1.305460
10,80,76,71,9,5,0.887500,0.934211,0.910256,3.277930,80,32.497906,38.997487,1.299916
11,82,76,72,10,4,0.878049,0.947368,0.911392,3.328965,82,32.441218,38.929461,1.297649
12,80,76,71,9,5,0.887500,0.934211,0.910256,3.200720,80,32.421696,38.906035,1.296868
13,80,76,71,9,5,0.887500,0.934211,0.910256,3.325285,80,32.208994,38.650793,1.288360
14,80,75,70,10,5,0.875000,0.933333,0.903226,3.432584,80,32.356656,38.827987,1.294266
15,80,76,71,9,5,0.887500,0.934211,0.910256,3.701820,80,32.629503,39.155404,1.305180
16,80,76,71,9,5,0.887500,0.934211,0.910256,3.539816,80,32.377788,38.853346,1.295112
17,81,76,73,8,3,0.901235,0.960526,0.929936,3.251026,81,32.066832,38.480198,1.282673
18,81,76,72,9,4,0.888889,0.947368,0.917197,3.212546,81,32.511149,39.013379,1.300446
19,81,76,73,8,3,0.901235,0.960526,0.929936,3.194454,81,32.311336,38.773603,1.292453
20,81,76,73,8,3,0.901235,0.960526,0.929936,3.159081,81,32.351546,38.821855,1.294062
21,80,76,72,8,4,0.900000,0.947368,0.923077,3.329614,80,32.639561,39.167473,1.305582
22,81,76,73,8,3,0.901235,0.960526,0.929936,3.291837,81,32.754260,39.305112,1.310170
23,82,77,73,9,4,0.890244,0.948052,0.918239,3.331174,82,32.767668,39.321201,1.310707
24,80,78,71,9,7,0.887500,0.910256,0.898734,3.318382,80,32.658119,39.189743,1.306325
25,83,78,75,8,3,0.903614,0.961538,0.931677,3.424172,83,32.550463,39.060556,1.302019
26,82,80,72,10,8,0.878049,0.900000,0.888889,3.058571,82,32.766200,39.319440,1.310648
27,84,80,76,8,4,0.904762,0.950000,0.926829,3.409252,84,32.558906,39.070688,1.302356
28,85,80,77,8,3,0.905882,0.962500,0.933333,3.444367,85,32.622648,39.147178,1.304906
29,85,80,77,8,3,0.905882,0.962500,0.933333,3.389892,85,32.491479,38.989775,1.299659
30,86,81,77,9,4,0.895349,0.950617,0.922156,3.070817,86,32.782490,39.338988,1.311300
31,85,82,77,8,5,0.905882,0.939024,0.922156,3.129026,85,32.791592,39.349910,1.311664
32,88,82,79,9,3,0.897727,0.963415,0.929412,2.928502,88,32.998956,39.598747,1.319958
33,88,82,79,9,3,0.897727,0.963415,0.929412,3.048624,88,32.836650,39.403980,1.313466
34,89,82,79,10,3,0.887640,0.963415,0.923977,2.847991,89,33.003981,39.604778,1.320159
35,90,82,80,10,2,0.888889,0.975610,0.930233,2.953361,90,32.849953,39.419943,1.313998
36,90,83,80,10,3,0.888889,0.963855,0.924855,2.970051,90,32.713196,39.255835,1.308528
37,92,83,81,11,2,0.880435,0.975904,0.925714,2.995525,92,32.965931,39.559117,1.318637
38,89,85,79,10,6,0.887640,0.929412,0.908046,3.040247,89,33.207184,39.848621,1.328287
39,89,85,81,8,4,0.910112,0.952941,0.931034,3.334509,89,33.096313,39.715576,1.323853
40,89,86,82,7,4,0.921348,0.953488,0.937143,3.434326,89,32.971881,39.566257,1.318875
41,89,88,82,7,6,0.921348,0.931818,0.926554,3.362581,89,32.719345,39.263214,1.308774
42,92,89,83,9,6,0.902174,0.932584,0.917127,3.090335,92,33.055640,39.666768,1.322226
43,92,89,84,8,5,0.913043,0.943820,0.928177,3.156520,92,32.756506,39.307807,1.310260
44,92,91,84,8,7,0.913043,0.923077,0.918033,3.121675,92,32.963517,39.556220,1.318541
45,93,91,84,9,7,0.903226,0.923077,0.913043,2.987481,93,32.686401,39.223681,1.307456
46,94,91,84,10,7,0.893617,0.923077,0.908108,3.022757,94,32.747163,39.296596,1.309887
47,94,91,84,10,7,0.893617,0.923077,0.908108,3.041709,94,32.614826,39.137791,1.304593
48,96,91,85,11,6,0.885417,0.934066,0.909091,3.165204,96,32.819920,39.383904,1.312797
49,95,92,85,10,7,0.894737,0.923913,0.909091,3.037387,95,32.856612,39.427934,1.314264
