dataset,sequence,frame,detection_id,x,y,area_px,mean_intensity,std_intensity,max_intensity,integrated_intensity,intensity_weighted_x,intensity_weighted_y,bbox_x_min,bbox_y_min,bbox_x_max_exclusive,bbox_y_max_exclusive,source,image
PhC-C2DL-PSC,02,25,1,542.053191,15.382979,188,198.186170,49.760944,255.000000,37259.000000,541.991519,15.217719,537,4,548,29,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,2,172.978836,14.952381,189,201.486772,49.179362,255.000000,38081.000000,173.355820,14.609175,160,8,185,25,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,3,217.584677,13.975806,248,187.020161,46.102922,255.000000,46381.000000,218.292296,14.202303,196,8,232,22,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,4,653.667606,20.154930,355,173.149296,55.962993,255.000000,61468.000000,653.622470,20.308079,632,1,677,37,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,5,105.523810,22.470238,168,146.041667,25.691937,213.000000,24535.000000,105.604891,22.403301,100,13,114,34,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,6,328.982249,35.378698,169,202.568047,45.012126,255.000000,34234.000000,329.055734,35.367646,318,31,340,42,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,7,113.653226,55.177419,248,201.903226,48.330585,255.000000,50072.000000,113.672072,55.205025,103,44,124,68,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,8,352.528090,54.651685,178,209.247191,43.753338,255.000000,37246.000000,352.522365,54.624362,346,47,360,63,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,9,551.112245,57.005102,196,179.581633,45.465152,255.000000,35198.000000,551.583812,57.252031,536,48,564,65,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,10,195.930029,64.976676,343,201.224490,44.251854,255.000000,69020.000000,195.750406,64.876818,182,53,213,85,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,11,653.172775,66.811518,191,151.408377,36.870663,254.000000,28919.000000,653.192572,66.740171,649,52,659,81,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,12,162.625806,67.600000,155,197.587097,47.893132,255.000000,30626.000000,162.711291,67.520310,156,60,170,78,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,13,323.731801,73.218391,261,172.379310,31.092585,255.000000,44991.000000,323.917672,73.013314,314,57,330,88,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,14,218.115854,73.140244,164,182.115854,40.142946,255.000000,29867.000000,218.141896,73.044062,207,59,228,86,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,15,71.900000,97.116667,180,181.638889,42.605264,255.000000,32695.000000,71.998134,96.886160,67,89,80,112,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,16,602.808140,100.116279,172,187.813953,38.540076,255.000000,32304.000000,602.754860,100.156018,594,92,614,108,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,17,318.024390,117.304878,164,202.939024,44.256279,255.000000,33282.000000,318.014332,117.347395,314,105,323,130,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,18,140.927461,115.839378,193,170.476684,31.062043,234.000000,32902.000000,141.029512,115.901617,133,104,150,129,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,19,632.574359,113.256410,195,157.861538,28.540683,235.000000,30783.000000,632.387097,113.289965,623,106,646,121,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,20,602.171779,119.582822,163,205.914110,44.247685,255.000000,33564.000000,602.076660,119.499225,598,108,608,132,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,21,405.042471,121.810811,259,180.065637,26.174783,225.000000,46637.000000,404.863520,121.601668,394,112,424,134,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,22,74.804762,129.995238,210,151.680952,28.875729,217.000000,31853.000000,74.086209,130.052617,63,124,98,140,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,23,236.366883,135.220779,308,171.279221,29.103821,249.000000,52754.000000,236.198279,135.793001,228,107,246,161,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,24,597.565217,141.340580,138,175.152174,27.977968,251.000000,24171.000000,597.558769,141.349468,592,132,605,152,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,25,208.638767,154.651982,227,190.643172,38.558389,255.000000,43276.000000,208.470076,154.691792,193,148,230,160,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,26,613.403727,160.726708,161,176.062112,31.993534,244.000000,28346.000000,613.290588,160.618994,605,151,622,168,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,27,175.980198,163.594059,202,211.227723,42.408639,255.000000,42668.000000,176.095317,163.586107,168,153,185,174,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,28,597.246914,163.648148,162,188.543210,38.964545,255.000000,30544.000000,597.146739,163.632923,592,151,605,174,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,29,393.065934,171.692308,182,212.565934,36.595405,255.000000,38687.000000,393.211234,171.613462,385,164,402,181,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,30,411.020690,186.551724,145,210.020690,35.666553,255.000000,30453.000000,410.958887,186.549962,403,182,421,192,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,31,431.031646,194.000000,158,182.050633,22.762060,245.000000,28764.000000,430.976046,193.902204,423,188,440,201,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,32,467.748603,200.396648,179,207.391061,36.293237,255.000000,37123.000000,467.732241,200.411147,457,191,479,209,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,33,454.917722,207.556962,158,217.588608,36.514455,255.000000,34379.000000,454.980424,207.434597,449,199,462,217,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,34,688.226277,209.189781,137,187.576642,49.896056,255.000000,25698.000000,688.025839,209.209977,682,203,696,217,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,35,667.172727,214.622727,220,157.568182,26.623296,227.000000,34665.000000,667.208625,214.242781,659,203,675,232,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,36,84.595918,251.355102,245,179.024490,39.313801,255.000000,43861.000000,83.894736,252.252616,70,232,100,264,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,37,587.080402,258.412060,199,200.135678,44.767256,255.000000,39827.000000,586.547995,258.391468,573,254,606,265,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,38,545.746377,279.010870,276,188.028986,40.471934,255.000000,51896.000000,545.981463,279.828985,529,253,558,297,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,39,354.306452,282.967742,186,197.967742,31.012641,255.000000,36822.000000,354.475558,282.936234,340,275,365,291,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,40,714.293233,290.398496,133,197.135338,45.137515,255.000000,26219.000000,714.518174,289.924292,710,277,719,303,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,41,660.048649,303.924324,185,194.037838,46.203471,255.000000,35897.000000,659.775775,303.554336,653,293,669,318,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,42,620.966667,302.533333,90,192.222222,45.939762,255.000000,17300.000000,620.868555,302.496879,616,298,627,308,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,43,93.020325,301.951220,246,178.024390,36.196946,255.000000,43794.000000,93.152258,302.431269,80,284,106,311,prediction,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,44,366.158140,314.418605,215,211.474419,37.564927,255.000000,45467.000000,365.904458,314.108144,355,304,380,328,prediction,Train Data/02/t025.tif
