dataset,sequence,frame,detection_id,x,y,area_px,mean_intensity,std_intensity,max_intensity,integrated_intensity,intensity_weighted_x,intensity_weighted_y,bbox_x_min,bbox_y_min,bbox_x_max_exclusive,bbox_y_max_exclusive,source,image
PhC-C2DL-PSC,02,25,1,105.551546,24.139175,194,139.252577,28.921385,213.000000,27015.000000,105.649824,23.684768,98,13,114,39,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,3,116.260504,57.941176,119,224.008403,38.774178,255.000000,26657.000000,116.235886,57.810144,111,52,122,65,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,4,163.284211,67.452632,95,228.389474,34.197659,255.000000,21697.000000,163.198138,67.382219,158,62,169,75,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,5,74.560000,95.177778,225,164.964444,49.484261,255.000000,37117.000000,73.862920,95.529919,68,84,87,112,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,6,73.312500,129.454167,240,146.087500,30.328422,217.000000,35061.000000,72.903939,129.611705,60,121,93,141,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,7,142.415205,116.070175,171,171.216374,34.967570,234.000000,29278.000000,142.137612,116.044709,136,105,150,128,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,8,191.451724,65.724138,290,199.120690,50.424774,255.000000,57745.000000,192.099818,65.600052,179,54,204,84,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,9,210.614379,59.261438,153,155.300654,33.726909,255.000000,23761.000000,210.144607,59.682379,205,49,218,72,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,10,219.514925,73.671642,134,187.686567,42.548027,255.000000,25150.000000,219.323459,73.555030,214,64,228,84,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,11,236.841155,132.501805,277,172.252708,30.839184,249.000000,47714.000000,236.591105,133.488913,228,107,244,154,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,12,211.656069,153.838150,346,170.751445,41.961193,255.000000,59080.000000,211.033006,154.089421,189,145,238,160,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,13,176.073394,163.197248,218,205.486239,45.696569,255.000000,44796.000000,176.149143,163.340432,169,152,184,175,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,14,86.293194,249.989529,191,186.654450,41.328412,255.000000,35651.000000,85.121287,251.323273,73,233,100,262,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,15,92.010676,299.569395,281,168.555160,39.285948,255.000000,47364.000000,92.204269,300.359978,81,284,104,308,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,16,105.088435,446.517007,147,199.285714,45.783876,255.000000,29295.000000,104.792320,446.867384,101,435,111,456,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,17,86.122642,468.641509,106,223.641509,38.090059,255.000000,23706.000000,85.947819,468.679997,81,461,93,477,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,18,101.615764,496.009852,203,212.891626,44.159006,255.000000,43217.000000,101.544115,496.206285,97,484,108,510,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,19,32.222581,533.125806,310,184.793548,53.472477,255.000000,57286.000000,32.629473,533.400517,13,519,48,548,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,20,103.460094,551.985915,213,193.755869,50.596318,255.000000,41270.000000,103.321662,552.205137,99,538,109,567,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,21,199.204188,520.319372,191,221.303665,40.473531,255.000000,42269.000000,199.117273,520.572145,193,506,208,534,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,22,220.964630,471.980707,311,181.871383,39.479933,255.000000,56562.000000,220.700453,471.942523,211,447,242,492,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,23,259.717391,425.894928,276,198.641304,45.409230,255.000000,54825.000000,259.520967,426.302034,241,416,278,435,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,24,234.365385,394.288462,104,208.134615,39.452273,255.000000,21646.000000,234.147972,394.602975,229,389,240,401,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,25,213.972350,365.820276,217,194.903226,42.195014,255.000000,42294.000000,213.763702,365.885894,199,354,231,379,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,26,318.330986,116.612676,142,208.711268,45.120587,255.000000,29637.000000,318.198806,116.863515,314,106,324,129,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,27,323.706989,70.481183,372,159.830645,32.512046,255.000000,59457.000000,323.808938,70.899474,310,47,332,86,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,28,352.966851,54.591160,181,207.707182,44.864651,255.000000,37595.000000,352.822024,54.581673,347,47,361,63,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,29,329.352601,35.335260,173,200.161850,46.772198,255.000000,34628.000000,329.307324,35.337935,319,31,340,44,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,31,406.530351,121.290735,313,171.964856,29.357476,225.000000,53825.000000,406.096758,121.202601,394,111,423,133,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,32,393.527273,171.696970,165,217.696970,34.554730,255.000000,35920.000000,393.561776,171.604538,387,165,402,180,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,33,411.180451,186.781955,133,213.609023,35.256490,255.000000,28410.000000,411.079338,186.728405,404,183,420,192,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,34,431.306533,193.407035,199,172.582915,26.750887,245.000000,34344.000000,431.189000,193.454548,421,186,442,202,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,35,455.212121,206.139394,165,213.145455,40.760684,255.000000,35169.000000,455.190537,206.446018,449,196,462,216,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,36,464.822660,197.039409,203,194.532020,45.110731,255.000000,39490.000000,465.581084,197.851127,450,186,477,206,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,37,356.472325,279.523985,271,181.638376,35.127105,255.000000,49224.000000,356.255282,280.072221,340,266,374,289,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,38,365.581590,313.811715,239,205.259414,40.218021,255.000000,49057.000000,365.490328,313.692052,354,301,379,328,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,39,355.992701,355.197080,137,211.175182,39.081404,255.000000,28931.000000,356.032457,355.567799,352,341,363,367,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,40,354.116667,367.250000,120,231.391667,31.431220,255.000000,27767.000000,354.187705,367.494580,349,360,360,375,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,41,351.000000,438.278061,392,184.882653,37.023180,255.000000,72474.000000,350.752753,439.040663,345,399,363,472,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,42,393.468421,504.047368,190,199.531579,43.730112,255.000000,37911.000000,393.356203,504.097650,386,491,402,519,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,43,355.052632,544.017544,114,200.201754,40.922516,255.000000,22823.000000,354.958463,544.358323,351,537,360,552,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,44,368.198830,552.719298,171,195.304094,38.288241,255.000000,33397.000000,367.633141,552.479804,359,547,379,561,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,47,430.824675,540.025974,154,184.837662,40.815784,255.000000,28465.000000,431.267030,540.108695,416,535,443,548,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,48,462.980000,546.195000,200,200.060000,46.583005,255.000000,40012.000000,462.705088,546.630511,449,536,477,556,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,50,524.537037,530.865741,216,186.060185,45.067964,255.000000,40189.000000,524.448083,530.690139,517,514,534,548,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,51,560.131818,446.018182,220,198.254545,45.863025,255.000000,43616.000000,559.588568,445.246790,553,429,573,465,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,53,604.709524,434.985714,210,189.100000,47.839857,255.000000,39711.000000,604.721412,436.068117,600,416,610,450,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,54,656.175439,439.017544,114,228.701754,35.295228,255.000000,26072.000000,656.083269,439.057725,649,434,664,445,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,55,680.424242,410.303030,132,211.568182,42.809513,255.000000,27927.000000,680.574856,410.337881,672,407,690,415,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,56,639.271523,507.549669,151,208.761589,45.663571,255.000000,31523.000000,639.121086,507.825937,633,497,646,517,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,57,669.769953,347.361502,213,167.826291,35.449135,238.000000,35747.000000,669.980670,347.203933,663,331,678,364,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,58,659.961538,303.950549,182,193.714286,47.489683,255.000000,35256.000000,659.714261,303.570201,653,292,669,318,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,60,569.013393,377.245536,224,194.562500,45.561728,255.000000,43582.000000,569.503878,377.101143,555,370,583,387,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,61,553.351351,334.891892,185,185.205405,35.138967,255.000000,34263.000000,553.575023,334.776610,543,326,561,342,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,62,544.738462,279.273077,260,186.953846,42.734396,255.000000,48608.000000,545.208875,279.917442,530,255,558,294,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,64,585.652344,257.933594,256,185.957031,47.649949,255.000000,47605.000000,585.570528,258.057956,568,253,605,265,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,65,687.304762,208.504762,105,201.209524,49.750558,255.000000,21127.000000,687.367634,208.794765,683,203,693,216,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,66,669.545833,211.025000,480,134.839583,27.698550,227.000000,64723.000000,669.198137,211.500749,652,182,687,242,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,67,612.405858,159.539749,239,161.615063,34.439966,244.000000,38626.000000,612.412391,159.770207,601,147,623,168,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,68,596.505376,161.784946,186,179.064516,43.329646,255.000000,33306.000000,596.562571,162.250555,592,147,602,174,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,69,596.960526,141.250000,152,167.815789,32.946013,251.000000,25508.000000,597.096166,141.245452,591,132,606,151,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,70,601.869565,118.831522,184,196.157609,49.709178,255.000000,36093.000000,601.892722,118.996038,597,107,608,131,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,71,600.093960,101.912752,298,156.926174,46.018466,255.000000,46764.000000,600.759323,101.450774,578,90,622,117,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,72,634.231076,112.796813,251,147.247012,31.867047,235.000000,36959.000000,633.648259,112.920588,622,106,647,122,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,73,651.888889,65.045455,198,146.313131,40.464761,254.000000,28970.000000,652.234242,65.473973,647,49,657,81,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,74,653.161290,18.434018,341,171.873900,58.934816,255.000000,58609.000000,653.414885,19.246071,633,1,674,35,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,75,550.668367,56.234694,196,178.005102,47.129164,255.000000,34889.000000,551.304165,56.716644,536,47,564,64,human_gold_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,77,455.071823,374.016575,181,222.132597,40.605147,255.000000,40206.000000,455.068398,374.279088,445,370,469,380,human_gold_segmentation,Train Data/02/t025.tif
