dataset,sequence,frame,detection_id,x,y,area_px,mean_intensity,std_intensity,max_intensity,integrated_intensity,intensity_weighted_x,intensity_weighted_y,bbox_x_min,bbox_y_min,bbox_x_max_exclusive,bbox_y_max_exclusive,source,image
PhC-C2DL-PSC,02,25,696,115.146341,56.936585,205,206.414634,45.593739,255.000000,42315.000000,114.971169,56.709654,104,46,123,68,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,706,72.597701,96.856322,174,182.517241,43.422639,255.000000,31758.000000,72.477895,96.714056,67,88,82,111,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,715,73.476923,129.476923,195,152.979487,29.833205,217.000000,29831.000000,72.974221,129.643927,63,123,93,139,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,719,141.637363,115.582418,182,171.098901,32.622232,234.000000,31140.000000,141.580861,115.704881,134,104,151,129,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,722,163.306569,67.846715,137,204.846715,46.251122,255.000000,28064.000000,163.175242,67.655252,157,60,170,78,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,725,192.639576,66.088339,283,204.049470,46.364713,255.000000,57746.000000,192.923614,65.853063,180,54,205,84,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,733,208.991803,61.114754,122,164.852459,31.913477,255.000000,20112.000000,208.789131,61.207687,205,53,215,72,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,736,219.572464,73.804348,138,186.478261,42.459225,255.000000,25734.000000,219.383151,73.673312,214,64,228,85,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,737,236.476562,133.964844,256,176.101562,29.407254,249.000000,45082.000000,236.269775,134.765561,228,110,243,152,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,742,329.064935,35.097403,154,208.012987,43.442302,255.000000,32034.000000,329.108104,35.167603,318,31,341,42,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,745,325.757009,69.411215,214,175.308411,34.550900,255.000000,37516.000000,325.596439,70.026335,321,49,331,88,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,748,352.493590,54.525641,156,218.006410,39.501785,255.000000,34009.000000,352.491576,54.530389,346,47,360,62,computer_silver_segmentation,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,754,318.014286,117.121429,140,212.335714,41.050250,255.000000,29727.000000,318.007703,117.211861,314,105,323,129,computer_silver_segmentation,Train Data/02/t025.tif
