dataset,sequence,frame,detection_id,x,y,area_px,mean_intensity,std_intensity,max_intensity,integrated_intensity,intensity_weighted_x,intensity_weighted_y,bbox_x_min,bbox_y_min,bbox_x_max_exclusive,bbox_y_max_exclusive,source,image
PhC-C2DL-PSC,02,25,696,117.000000,58.000000,25,255.000000,0.000000,255.000000,6375.000000,117.000000,58.000000,115,56,120,61,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,706,72.000000,95.000000,9,230.777778,4.540626,238.000000,2077.000000,71.992297,94.997111,71,94,74,97,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,715,72.000000,130.000000,9,205.777778,8.376923,217.000000,1852.000000,71.978402,130.022138,71,129,74,132,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,719,142.000000,116.000000,9,217.444444,4.139541,223.000000,1957.000000,141.985181,116.001022,141,115,144,118,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,722,163.000000,67.000000,9,255.000000,0.000000,255.000000,2295.000000,163.000000,67.000000,162,66,165,69,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,725,189.000000,64.000000,9,255.000000,0.000000,255.000000,2295.000000,189.000000,64.000000,188,63,191,66,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,733,210.000000,62.000000,9,167.000000,11.785113,186.000000,1503.000000,209.945442,62.007984,209,61,212,64,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,736,219.000000,73.000000,9,253.000000,5.312459,255.000000,2277.000000,218.992973,73.007027,218,72,221,75,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,737,235.000000,139.000000,9,223.111111,9.480324,241.000000,2008.000000,235.027390,139.017928,234,138,237,141,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,742,330.000000,36.000000,9,255.000000,0.000000,255.000000,2295.000000,330.000000,36.000000,329,35,332,38,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,745,325.000000,72.000000,9,243.666667,7.859884,255.000000,2193.000000,324.996352,72.012768,324,71,327,74,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,748,351.000000,54.000000,9,255.000000,0.000000,255.000000,2295.000000,351.000000,54.000000,350,53,353,56,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,754,317.000000,118.000000,9,255.000000,0.000000,255.000000,2295.000000,317.000000,118.000000,316,117,319,120,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,757,404.000000,122.000000,9,220.222222,4.340450,225.000000,1982.000000,403.993441,122.013118,403,121,406,124,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,766,552.100000,57.950000,20,233.150000,14.437018,255.000000,4663.000000,552.040961,57.911859,550,56,555,61,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,769,601.000000,100.000000,9,212.777778,6.745826,221.000000,1915.000000,601.019321,100.010444,600,99,603,102,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,772,601.000000,120.000000,9,255.000000,0.000000,255.000000,2295.000000,601.000000,120.000000,600,119,603,122,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,782,596.000000,166.000000,9,254.666667,0.942809,255.000000,2292.000000,595.998691,165.998691,595,165,598,168,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,785,597.000000,142.000000,9,207.666667,11.813363,224.000000,1869.000000,597.042269,141.987159,596,141,599,144,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,786,612.000000,162.000000,9,225.111111,9.073091,238.000000,2026.000000,612.001481,161.973346,611,161,614,164,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,791,630.000000,113.000000,9,196.333333,12.292726,214.000000,1767.000000,630.049802,113.009055,629,112,632,115,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,794,653.000000,68.000000,9,203.888889,14.145627,219.000000,1835.000000,653.055041,67.992916,652,67,655,70,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,802,687.000000,209.000000,9,255.000000,0.000000,255.000000,2295.000000,687.000000,209.000000,686,208,689,211,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,806,667.000000,214.000000,9,212.777778,12.916637,227.000000,1915.000000,667.028198,213.966580,666,213,669,216,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,813,584.000000,258.000000,9,255.000000,0.000000,255.000000,2295.000000,584.000000,258.000000,583,257,586,260,human_gold_tracking_marker,Train Data/02/t025.tif
PhC-C2DL-PSC,02,25,820,546.000000,283.000000,9,233.666667,6.073622,242.000000,2103.000000,546.003804,283.019496,545,282,548,285,human_gold_tracking_marker,Train Data/02/t025.tif
